new_index,Net revenue,Gross profit,Operating profit,Profit after tax,Net profit,Current assets,Total assets,Liabilities,Short -term liabilities,Owner's equity,Trailing EPS,Book value per share,ROS,ROEA,ROAA,Price
2015Q1,14713020,1689718,628941,547349,424661,16319851.0,22206060.0,12362568.0,11843484.0,8380860.0,4919.0,24357.0,3.72,5.21,1.89,20.393320399058425
2014Q4,15333191,1768216,612410,533636,450529,16961911.0,22659686.0,13405222.0,13062886.0,7909990.0,5024.0,22988.0,3.48,5.8,2.11,20.889599548110205
2014Q3,13477215,1606661,590933,503722,389098,14847358.0,19945743.0,10987860.0,10670684.0,7628831.0,5379.0,22170.0,3.74,5.11,2.06,22.041795829406908
2014Q2,10685411,1554004,628384,557458,427586,12729372.0,17766402.0,8885205.0,8600724.0,7587818.0,5495.0,22051.0,5.22,5.64,2.43,20.057237198241122
2014Q1,10867322,1345059,566863,494038,374602,12668500.0,17446248.0,8710120.0,8412879.0,7574003.0,5901.0,27512.0,4.55,5.07,2.14,19.69087596276572
2013Q4,11283427,1638114,676635,541224,474010,12954621.0,17617926.0,9363078.0,9075739.0,7209656.0,5849.0,26188.0,4.8,6.72,2.84,15.114840081215458
2013Q3,12000599,1346075,546819,465109,330590,11269784.0,15709061.0,7660120.0,7378687.0,6904109.0,5765.0,25077.0,3.88,4.76,2.12,14.113073679101536
2013Q2,9336562,1365206,675880,584299,444786,11274078.0,15523397.0,7428091.0,7169969.0,6989818.0,5801.0,25389.0,6.26,6.58,3.01,12.901688173221327
2013Q1,8611039,1193176,551903,474681,358323,9906638.0,14059015.0,6523998.0,6285133.0,6528838.0,5689.0,23831.0,5.51,5.64,2.54,11.921855184477922
2012Q4,10020775,1511131,626200,544581,448954,10282181.0,14270464.0,7194525.0,6899105.0,6181640.0,5938.0,22563.0,5.43,7.28,3.1,10.591563578330444
2012Q3,9869741,1135529,524003,451930,338402,11037975.0,14692014.0,7520895.0,7219370.0,6152706.0,6344.0,22457.0,4.58,5.53,2.33,12.642509913301952
2012Q2,9666613,1243845,593236,529497,412341,10787561.0,14404612.0,7339191.0,7065492.0,6089283.0,7500.0,22226.0,5.48,6.9,2.88,14.485530976688867
2012Q1,8937352,1117342,559792,460417,340630,10656599.0,14272591.0,7515345.0,7257525.0,5858498.0,8231.0,27100.0,5.15,5.99,2.33,12.626346354249302
2011Q4,13832026,1653487,661051,579689,462746,11410324.0,15024909.0,8528729.0,8296037.0,5529647.0,8244.0,25578.0,4.19,8.43,3.17,11.413909002204134
2011Q3,10140718,1244222,624351,539533,513326,10607052.0,14130608.0,7800299.0,5828271.0,5450140.0,7680.0,25210.0,5.32,10.22,3.86,12.047561269135757
2011Q2,9329772,1290943,648888,553046,415457,9018714.0,12446982.0,6618198.0,4691588.0,4590719.0,6703.0,23713.0,5.93,9.37,3.3,11.54497924301107
2011Q1,10199095,1160830,474631,416327,296626,9283952.0,12710742.0,7257314.0,5164567.0,4274842.0,6562.0,22080.0,4.08,7.18,2.37,13.189782238779593
2010Q4,10198524,1296960,424497,428709,303828,8829078.0,12502219.0,7425477.0,5538445.0,3982083.0,6424.0,20567.0,4.2,7.81,2.45,15.671134768895714
2010Q3,12602884,1127905,422730,372831,281037,9004707.0,12268263.0,7414799.0,5525345.0,3798459.0,7005.0,19618.0,2.96,7.5,2.37,16.21609393134789
